nohup: ignoring input
Using backend: pytorch
cuda:0 pretrained/GGCN_wisconsin_04_14_02_15.pt
Epoch:0002 train loss:1.565 acc:29.17 | val loss:1.547 acc:28.75
Epoch:0003 train loss:1.536 acc:29.17 | val loss:1.525 acc:28.75
Epoch:0004 train loss:1.507 acc:29.17 | val loss:1.505 acc:28.75
Epoch:0005 train loss:1.476 acc:29.17 | val loss:1.486 acc:28.75
Epoch:0006 train loss:1.445 acc:29.17 | val loss:1.471 acc:28.75
Epoch:0007 train loss:1.416 acc:29.17 | val loss:1.458 acc:28.75
Epoch:0008 train loss:1.388 acc:29.17 | val loss:1.447 acc:28.75
Epoch:0009 train loss:1.360 acc:29.17 | val loss:1.436 acc:35.00
Epoch:0010 train loss:1.333 acc:41.67 | val loss:1.427 acc:56.25
Epoch:0011 train loss:1.306 acc:69.17 | val loss:1.420 acc:42.50
Epoch:0012 train loss:1.280 acc:56.67 | val loss:1.416 acc:38.75
Epoch:0013 train loss:1.257 acc:46.67 | val loss:1.415 acc:38.75
Epoch:0014 train loss:1.236 acc:45.83 | val loss:1.413 acc:38.75
Epoch:0015 train loss:1.215 acc:45.83 | val loss:1.410 acc:38.75
Epoch:0016 train loss:1.194 acc:45.83 | val loss:1.403 acc:38.75
Epoch:0017 train loss:1.172 acc:45.83 | val loss:1.393 acc:38.75
Epoch:0018 train loss:1.148 acc:46.67 | val loss:1.380 acc:38.75
Epoch:0019 train loss:1.122 acc:46.67 | val loss:1.366 acc:38.75
Epoch:0020 train loss:1.097 acc:51.67 | val loss:1.353 acc:48.75
Epoch:0021 train loss:1.071 acc:61.67 | val loss:1.342 acc:55.00
Epoch:0022 train loss:1.047 acc:72.50 | val loss:1.333 acc:58.75
Epoch:0023 train loss:1.021 acc:73.33 | val loss:1.324 acc:57.50
Epoch:0024 train loss:0.995 acc:73.33 | val loss:1.315 acc:58.75
Epoch:0025 train loss:0.965 acc:73.33 | val loss:1.305 acc:56.25
Epoch:0026 train loss:0.933 acc:75.83 | val loss:1.296 acc:58.75
